 1,   1,   8,  58,  27, 140, 141, 142, 143
 2,   8,   9,  59,  58, 144, 145, 146, 141
 3,   9,  10,  60,  59, 147, 148, 149, 145
 4,  10,  11,  61,  60, 150, 151, 152, 148
 5,  11,  12,  62,  61, 153, 154, 155, 151
 6,  12,   2,  13,  62, 156, 157, 158, 154
 7,  27,  58,  63,  26, 142, 159, 160, 161
 8,  58,  59,  64,  63, 146, 162, 163, 159
 9,  59,  60,  65,  64, 149, 164, 165, 162
10,  60,  61,  66,  65, 152, 166, 167, 164
11,  61,  62,  67,  66, 155, 168, 169, 166
12,  62,  13,  14,  67, 158, 170, 171, 168
13,  26,  63,  68,  25, 160, 172, 173, 174
14,  63,  64,  69,  68, 163, 175, 176, 172
15,  64,  65,  70,  69, 165, 177, 178, 175
16,  65,  66,  71,  70, 167, 179, 180, 177
17,  66,  67,  72,  71, 169, 181, 182, 179
18,  67,  14,  15,  72, 171, 183, 184, 181
19,  25,  68,  73,  24, 173, 185, 186, 187
20,  68,  69,  74,  73, 176, 188, 189, 185
21,  69,  70,  75,  74, 178, 190, 191, 188
22,  70,  71,  76,  75, 180, 192, 193, 190
23,  71,  72,  77,  76, 182, 194, 195, 192
24,  72,  15,  16,  77, 184, 196, 197, 194
25,  24,  73,  78,  23, 186, 198, 199, 200
26,  73,  74,  79,  78, 189, 201, 202, 198
27,  74,  75,  80,  79, 191, 203, 204, 201
28,  75,  76,  81,  80, 193, 205, 206, 203
29,  76,  77,  82,  81, 195, 207, 208, 205
30,  77,  16,  17,  82, 197, 209, 210, 207
31,  23,  78,  22,   4, 199, 211, 212, 213
32,  78,  79,  21,  22, 202, 214, 215, 211
33,  79,  80,  20,  21, 204, 216, 217, 214
34,  80,  81,  19,  20, 206, 218, 219, 216
35,  81,  82,  18,  19, 208, 220, 221, 218
36,  82,  17,   3,  18, 210, 222, 223, 220
 37,  37,  38,  99,  87, 224, 225, 226, 227
 38,  38,   2,  12,  99, 228, 156, 229, 225
 39,  87,  99, 100,  86, 226, 230, 231, 232
 40,  99,  12,  11, 100, 229, 153, 233, 230
 41,  86, 100, 101,  85, 231, 234, 235, 236
